Var1	Freq	Fast	Duplication	Intron1loss	Intron2loss	HardCodingCodon187	HardCodingCodon28	LossofSer	LossofHis	LossofAsp
Kalopanax_septemlobus	0.811507	0	0	0	0	1	1	0	0	0
Fatsia_japonica	0.811507	0	0	0	0	1	1	0	0	0
Eleutherococcus_senticosus	0.811507	0	0	0	0	1	1	0	0	0
Brassaiopsis_hainla	0.811507	0	0	0	0	1	1	0	0	0
Pastinaca_pimpinellifolia	0.811643	0	0	0	0	1	1	0	0	0
Seseli_montanum	0.811647	0	0	0	0	1	1	0	0	0
Angelica_acutiloba	0.811647	0	0	0	0	1	1	0	0	0
Foeniculum_vulgare	0.811647	0	0	0	0	1	1	0	0	0
Anethum_graveolens	0.811647	0	0	0	0	1	1	0	0	0
Paeonia_obovata	0.812316	0	0	0	0	0	1	0	0	0
Salvia_miltiorrhiza	0.812637	0	0	0	0	1	1	0	0	0
Camellia_cuspidata	0.814685	0	0	0	0	1	1	0	0	0
Pentalinon_luteum	0.816783	0	0	0	0	1	1	0	0	0
Dendropanax_dentiger	0.816987	0	0	0	0	1	1	0	0	0
Ligusticum_tenuissimum	0.817292	0	0	0	0	1	1	0	0	0
Musa_textilis	0.817798	0	0	0	0	0	0	0	0	0
Pentactina_rupicola	0.817995	0	0	0	1	0	1	0	0	0
Lavandula_angustifolia	0.818189	0	0	0	0	1	1	0	0	0
Primula_poissonii	0.818279	0	0	0	0	1	1	0	0	0
Silene_latifolia	0.820208	0	0	0	0	0	1	0	0	0
Carica_papaya	0.822289	0	0	0	0	1	1	0	0	0
Schefflera_delavayi	0.822551	0	0	0	0	1	1	0	0	0
Ardisia_polysticta	0.823865	0	0	0	0	1	1	0	0	0
Aralia_undulata	0.828074	0	0	0	0	1	1	0	0	0
Papaver_somniferum	0.828712	0	0	0	0	0	0	0	0	0
Humulus_lupulus	0.82916	0	0	0	0	0	1	0	0	0
Cannabis_sativa	0.82916	0	0	0	0	0	1	0	0	0
Corallorhiza_bulbosa	0.832786	0	0	0	0	0	1	0	0	0
Theobroma_cacao	0.833079	0	0	0	0	0	1	0	0	0
Gossypium_hirsutum	0.833366	0	0	0	0	0	1	0	0	0
Ficus_racemosa	0.833781	0	0	0	0	0	1	0	0	0
Pyrus_pyrifolia	0.83481	0	0	0	0	0	1	0	0	0
Leucaena_trichandra	0.834862	0	0	0	0	0	1	0	0	0
Morus_indica	0.837744	0	0	0	0	0	1	0	0	0
Tilia_amurensis	0.839045	0	0	0	0	0	1	0	0	0
Echites_umbellatus	0.840582	0	0	0	0	1	1	0	0	0
Liquidambar_formosana	0.840745	0	0	0	0	0	1	0	0	0
Lactuca_sativa	0.842616	0	0	0	0	1	1	0	0	0
Artemisia_frigida	0.842624	0	0	0	0	1	1	0	0	0
Francoa_sonchifolia	0.84468	0	0	0	0	0	1	0	0	0
Melianthus_villosus	0.844874	0	0	0	0	0	1	0	0	0
Prunus_persica	0.846767	0	0	0	0	0	1	0	0	0
Gynochthodes_officinalis	0.847609	0	0	0	0	1	1	0	0	0
Chrysanthemum_x	0.848087	0	0	0	0	1	1	0	0	0
Guizotia_abyssinica	0.848096	0	0	0	0	1	1	0	0	0
Praxelis_clematidea	0.8481	0	0	0	0	1	1	0	0	0
Ageratina_adenophora	0.8481	0	0	0	0	1	1	0	0	0
Leontopodium_leiolepis	0.848146	0	0	0	0	1	1	0	0	0
Sesamum_indicum	0.84818	0	0	0	0	1	1	0	0	0
Fragaria_vesca	0.852201	0	0	0	0	0	1	0	0	0
Elaeagnus_macrophylla	0.853462	0	0	0	0	1	1	0	0	0
Helianthus_annuus	0.853609	0	0	0	0	1	1	0	0	0
Lupinus_luteus	0.853941	0	0	0	0	0	1	0	0	0
Hibiscus_syriacus	0.856492	0	0	0	0	0	1	0	0	0
Prinsepia_utilis	0.858401	0	0	0	0	0	1	0	0	0
Gentiana_straminea	0.862274	0	0	0	0	1	1	0	0	0
Scrophularia_takesimensis	0.86392	0	0	0	0	1	1	0	0	0
Utricularia_gibba	0.864786	0	0	0	0	1	1	0	0	0
Lotus_japonicus	0.864944	0	0	0	0	1	1	0	0	0
Panax_ginseng	0.869556	0	0	0	0	1	1	0	0	0
Jacobaea_vulgaris	0.870243	0	0	0	0	1	1	0	0	0
Soja_max	0.871744	0	0	0	0	0	1	0	0	0
Glycine_tomentella	0.871744	0	0	0	0	0	1	0	0	0
Hyoscyamus_niger	0.877192	0	0	0	0	1	1	0	0	0
Oncinotis_tenuiloba	0.880918	0	0	0	0	1	1	0	0	0
Saussurea_involucrata	0.881524	0	0	0	0	1	1	0	0	0
Aster_spathulifolius	0.881727	0	0	0	0	1	1	0	0	0
Cynara_humilis	0.881969	0	0	0	0	1	1	0	0	0
Atropa_belladonna	0.882765	0	0	0	0	1	1	0	0	0
Quercus_rubra	0.883913	0	0	0	0	0	1	0	0	0
Dorcoceras_hygrometricum	0.88394	0	0	0	0	1	1	0	0	0
Corynocarpus_laevigata	0.885433	0	0	0	0	0	1	0	0	0
Silybum_marianum	0.887535	0	0	0	0	1	1	0	0	0
Castanopsis_echinocarpa	0.889357	0	0	0	0	0	1	0	0	0
Lithocarpus_balansae	0.88936	0	0	0	0	0	1	0	0	0
Castanea_mollissima	0.889426	0	0	0	0	0	1	0	0	0
Pachycladon_cheesemanii	0.89279	0	0	0	0	0	1	0	0	0
Isatis_tinctoria	0.89279	0	0	0	0	0	1	0	0	0
Crucihimalaya_wallichii	0.89279	0	0	0	0	0	1	0	0	0
Cardamine_impatiens	0.89279	0	0	0	0	0	1	0	0	0
Olimarabidopsis_pumila	0.89279	0	0	0	0	0	1	0	0	0
Osyris_alba	0.894354	0	0	0	0	0	1	0	0	0
Akebia_trifoliata	0.89462	0	0	0	0	0	1	0	0	0
Boswellia_sacra	0.895514	0	0	0	0	0	1	0	0	0
Genlisea_margaretae	0.897289	0	0	0	0	1	1	0	0	0
Eutrema_salsugineum	0.898056	0	0	0	0	0	1	0	0	0
Arabidopsis_thaliana	0.898058	0	0	0	0	0	1	0	0	0
Aethionema_cordifolium	0.898058	0	0	0	0	0	1	0	0	0
Lepidium_virginicum	0.898059	0	0	0	0	0	1	0	0	0
Lobularia_maritima	0.89808	0	0	0	0	0	1	0	0	0
Sedum_sarmentosum	0.901603	0	0	0	0	0	1	0	0	0
Viscum_album	0.902733	0	0	0	0	0	1	0	0	0
Arabis_hirsuta	0.903377	0	0	0	0	0	1	0	0	0
Cochlearia_borzaeana	0.903471	0	0	0	0	0	1	0	0	0
Trigonobalanus_doichangensis	0.905866	0	0	0	0	0	1	0	0	0
Brassica_napus	0.908908	0	0	0	0	0	1	0	0	0
Andrographis_paniculata	0.911428	0	0	0	0	1	1	0	0	0
Centaurea_diffusa	0.917147	0	0	0	0	1	1	0	0	0
Azadirachta_indica	0.919986	0	0	0	0	0	1	0	0	0
Hevea_brasiliensis	0.924399	0	0	0	0	0	1	0	0	0
Capsicum_annuum	0.927468	0	0	0	0	1	1	0	0	0
Ricinus_communis	0.93556	0	0	0	0	0	1	0	0	0
Jatropha_curcas	0.935732	0	0	0	0	0	1	0	0	0
Vitis_vinifera	0.937667	0	0	0	0	0	1	0	0	0
Pinguicula_ehlersiae	0.941151	0	0	0	0	1	1	0	0	0
Tetrastigma_hemsleyanum	0.941481	0	0	0	0	0	1	0	0	0
Phaseolus_vulgaris	0.941485	0	0	0	0	0	1	0	0	0
Salix_interior	0.941936	0	0	0	0	0	1	0	0	0
Populus_alba	0.947426	0	0	0	0	0	1	0	0	0
Parinari_campestris	0.947876	0	0	0	0	1	1	0	0	0
Licania_alba	0.947876	0	0	0	0	1	1	0	0	0
Couepia_guianensis	0.947876	0	0	0	0	1	1	0	0	0
Chrysobalanus_icaco	0.947876	0	0	0	0	1	1	0	0	0
Datura_stramonium	0.952419	0	0	0	0	1	1	0	0	0
Hirtella_racemosa	0.953385	0	0	0	0	1	1	0	0	0
Manihot_esculenta	0.971021	0	0	0	0	0	1	0	0	0
Millettia_pinnata	0.97674	0	0	0	0	0	1	0	0	0
Cucumis_sativus	0.978619	0	0	0	0	0	1	0	0	0
Curcuma_roscoeana	0.988853	0	0	0	0	0	1	0	0	0
Vigna_radiata	0.989822	0	0	0	0	0	1	0	0	0
Dipteronia_sinensis	0.99346	0	0	0	0	0	1	0	0	0
Acer_morrisonense	1.004514	0	0	0	0	0	1	0	0	0
Euonymus_japonicus	1.013571	0	0	0	0	0	1	0	0	0
Zingiber_spectabile	1.016749	0	0	0	0	0	1	0	0	0
Zanthoxylum_piperitum	1.017039	0	0	0	0	0	1	0	0	0
Citrus_aurantiifolia	1.027949	0	0	0	0	0	1	0	0	0
Saracha_punctata	1.039641	0	0	0	0	1	1	0	0	0
Dunalia_obovata	1.039641	0	0	0	0	1	1	0	0	0
Iochroma_nitidum	1.045122	0	0	0	0	1	1	0	0	0
Sapindus_mukorossi	1.07726	0	0	0	0	0	1	0	0	0
Solanum_bulbocastanum	1.085263	0	0	0	0	1	1	0	0	0
Rheum_palmatum	1.085973	0	0	0	0	0	1	0	0	0
Fagopyrum_esculentum	1.091344	0	0	0	0	0	1	0	0	0
Viola_seoulensis	1.097542	0	0	0	0	0	1	0	0	0
Trillium_cuneatum	1.107922	0	0	0	0	0	0	0	0	0
Lycopersicon_lycopersicum	1.137439	0	0	0	0	1	1	0	0	0
Physalis_peruviana	1.160188	0	0	0	0	1	1	0	0	0
Astragalus_nakaianus	1.184628	0	0	1	0	1	1	0	0	0
Cicer_arietinum	1.191396	0	0	1	0	1	1	0	0	0
Cynanchum_wilfordii	1.197883	0	0	0	0	1	1	0	0	0
Trifolium_aureum	1.212737	1	0	0	0	0	1	0	0	0
Larrea_tridentata	1.225786	1	0	0	0	1	1	0	0	0
Wisteria_floribunda	1.240175	1	0	1	0	1	1	0	0	0
Medicago_truncatula	1.249344	1	0	0	0	0	1	0	0	0
Pharus_lappulaceus	1.258916	1	0	1	1	1	1	0	0	0
Puelia_olyriformis	1.264485	1	0	1	1	1	1	0	0	0
Aristida_purpurea	1.264493	1	0	1	1	1	1	0	0	0
Bromus_vulgaris	1.264497	1	0	1	1	1	1	0	0	0
Bambusa_oldhamii	1.264497	1	0	1	1	1	1	0	0	0
Eragrostis_minor	1.264505	1	0	1	1	1	1	0	0	0
Isachne_distichophylla	1.264505	1	0	1	1	1	1	0	0	0
Glycyrrhiza_glabra	1.267087	1	0	1	0	1	1	0	0	0
Phragmites_australis	1.270058	1	0	1	1	1	1	0	0	0
Danthonia_californica	1.270059	1	0	1	1	1	1	0	0	0
Triticum_aestivum	1.270072	1	0	1	1	1	1	0	0	0
Ferrocalamus_rimosivaginus	1.275668	1	0	1	1	1	1	0	0	0
Zea_mays	1.275729	1	0	1	1	1	1	0	0	0
Oryza_sativa	1.293883	1	0	1	1	1	1	0	0	0
Ipomoea_purpurea	1.302685	1	0	0	0	1	1	0	0	0
Anomochloa_marantoidea	1.327395	1	0	1	1	1	1	0	0	0
Trifolium_strictum	1.347406	1	0	0	1	1	1	0	0	0
Asclepias_nivea	1.36523	1	0	0	0	1	1	0	0	0
Inga_leiocalycina	1.396069	1	0	1	0	0	1	0	0	0
Pisum_sativum	1.420216	1	0	1	0	1	1	0	0	0
Ravenala_madagascariensis	1.42176	1	0	0	0	1	0	0	0	0
Trifolium_subterraneum	1.429909	1	0	0	0	1	1	0	0	0
Lathyrus_odoratus	1.455848	1	0	1	0	1	1	0	0	0
Vicia_sativa	1.462533	1	0	1	0	1	1	0	0	0
Vanilla_planifolia	1.476872	1	0	0	0	0	0	0	0	0
Lens_culinaris	1.480824	1	0	1	0	1	1	0	0	0
Schwalbea_americana	1.561321	1	0	0	1	1	1	0	0	0
Silene_paradoxa	1.587098	1	0	1	1	0	1	0	0	1
Carnegiea_gigantea	1.597907	1	0	1	1	1	1	0	0	0
Lonicera_japonica	1.734591	1	0	1	1	1	1	0	0	0
Erodium_carvifolium	1.797427	1	0	1	0	1	1	0	0	0
Brighamia_insignis	1.802412	1	0	0	0	1	1	0	0	0
Pelargonium_x	1.812695	1	1	1	0	1	1	0	0	0
Viviania_marifolia	1.847752	1	0	1	1	0	1	0	0	1
Trithuria_inconspicua	1.88005	1	0	1	1	1	1	0	0	0
Oenothera_biennis	1.889836	1	0	1	1	1	1	0	0	1
Trachelium_caeruleum	1.891131	1	0	0	0	1	1	0	0	1
Aquilaria_sinensis	1.902791	1	0	1	1	0	1	0	0	1
Erodium_chrysanthum	1.911462	1	0	1	1	1	1	0	0	0
Acacia_ligulata	1.962219	1	0	0	0	0	1	0	0	1
Carex_siderosticta	1.977489	1	1	1	1	1	1	0	0	0
Lathyrus_pubescens	1.983935	1	0	1	0	1	1	0	0	0
Epimedium_sagittatum	2.054406	1	0	0	0	0	0	1	1	1
Berberis_bealei	2.139013	1	0	0	0	1	0	0	0	1
Silene_chalcedonica	2.14189	1	1	1	1	1	0	0	0	1
Najas_flexilis	2.141917	1	0	0	0	1	1	0	0	1
Plantago_media	2.148973	1	0	0	0	1	1	0	0	0
Eustrephus_latifolius	2.151553	1	0	0	0	1	1	0	0	0
Erodium_texanum	2.167599	1	1	1	0	1	1	0	0	0
Silene_conoidea	2.192266	1	0	1	1	1	1	0	0	0
Silene_conica	2.200087	1	0	1	1	1	1	0	0	1
Geranium_palmatum	2.24194	1	0	1	1	1	1	0	0	0
Tanaecium_tetragonolobum	2.246404	1	0	0	0	1	1	0	0	0
Monsonia_speciosa	2.314886	1	0	1	0	1	1	0	0	1
Hypseocharis_bilobata	2.43988	1	0	1	0	1	1	0	0	0
Vaccinium_macrocarpon	2.622265	1	0	1	1	1	1	1	1	1
Silene_noctiflora	2.739264	1	0	1	1	1	1	0	1	1
Jasminum_nudiflorum	2.783682	1	0	1	1	1	1	0	0	1
Plantago_maritima	2.937469	1	0	1	1	1	1	1	1	1
